a_id,b_id,count_north,north_consistency
46,46,1429.5000000000061,0.14490969877486243
46,45,204.80000000000007,0.10409749533224906
46,2,179.00000000000009,0.11377179717920102
46,35,162.5,0.13019052046992508
2,46,157.09999999999994,-0.00832397088984079
46,69,145.5,0.010722282512716248
6,46,137.19999999999993,-0.022010892088834468
46,23,132.60000000000014,-0.06427347124158164
19,46,128.4000000000002,-0.055198937013870866
46,21,114.59999999999997,-0.008255735662407414
38,46,107.79999999999987,-0.03836420675663307
46,56,97.79999999999994,-0.01739143003925517
46,14,95.49999999999996,0.04205404699578133
46,13,95.3,0.06557715100372374
46,9,90.9,0.05913408493290726
8,46,89.79999999999997,0.01001030645137521
22,46,89.60000000000014,-0.10563295693024757
46,15,88.99999999999999,0.0031788579913917536
46,68,86.9,-0.0391104807002768
46,24,82.20000000000005,-0.026585465759043546
46,55,82.19999999999989,-0.07236496881809226
46,27,81.0,0.021770818420769805
46,59,79.30000000000007,-0.08721843351788357
46,5,77.80000000000007,-0.07495949806662915
46,73,77.3999999999999,-0.0679335873555506
35,46,76.69999999999997,-0.013302172206740358
25,46,73.29999999999995,-0.04442182702464453
46,50,71.50000000000004,-0.06285656550683365
46,71,71.19999999999995,-0.0695838084688816
46,66,69.40000000000006,-0.0834584999651759
46,40,65.70000000000013,-0.09575692421284478
2,69,63.69999999999999,0.1820245893441664
46,29,63.69999999999998,-0.02092541811291232
45,46,63.5,0.10316763033125823
46,17,62.29999999999999,-0.0359601248633983
46,7,62.09999999999997,-0.00904391332568395
26,46,61.699999999999974,-0.08555592720537865
46,34,59.99999999999997,0.019818523856185117
19,23,58.1,0.10969644154961483
4,46,58.09999999999999,-0.028138526824902012
39,46,57.90000000000007,-0.018791462295842113
19,11,56.39999999999999,0.2373013247384444
19,43,56.19999999999999,0.25659893395252825
56,46,56.00000000000001,0.0860193878237208
46,11,52.80000000000004,-0.08021433684869927
54,46,52.100000000000065,-0.021160756783147595
46,30,50.19999999999999,-0.027940423728977967
46,4,49.99999999999999,0.06634725441279066
46,57,49.70000000000002,0.008194989402289651
46,25,49.60000000000001,0.09300787767139436
46,52,47.39999999999999,-0.008939873209242178
46,31,47.100000000000016,-0.041849700727149455
46,63,46.8,0.04802749602744042
46,36,46.59999999999999,-0.025018988950619735
46,75,45.29999999999998,-0.03885421811444214
22,66,45.0,0.15779236977040598
46,20,43.80000000000002,-0.008671901357086276
2,56,43.7,0.15037790128601983
46,42,43.6,-0.05323816924619545
6,23,43.09999999999998,0.0712208085246798
40,46,42.60000000000001,0.12265121271542652
46,43,42.500000000000014,-0.09408074526127364
46,37,42.0,-0.04635724400432467
22,50,40.7,0.15291565220585057
50,23,40.0,0.2981184792743253
46,53,39.99999999999999,-0.040581545309195326
46,72,39.59999999999999,-0.0425333990742539
46,1,39.59999999999999,-0.062821417597709
26,37,39.5,0.31817562505415764
46,62,39.49999999999999,-0.06061757189612888
6,27,38.3,0.20119375352838298
46,10,37.40000000000001,-0.011500533147949849
22,59,37.0,0.09811267297369165
13,46,36.40000000000001,-0.04416169751481338
19,40,35.8,0.10054085720302461
46,49,35.30000000000001,-0.023353374122158006
27,46,34.2,-0.019281768221065098
18,46,33.80000000000001,-0.1267720822412744
46,18,33.40000000000001,-0.037923748839563676
46,44,32.49999999999999,-0.06445818266306451
59,46,32.39999999999999,0.10937712623771056
22,68,32.300000000000004,0.10188623010730213
46,65,31.800000000000004,-0.08669802345108082
26,23,31.100000000000005,0.08243591627750416
35,69,31.000000000000004,0.15571303332852868
46,48,30.500000000000004,-0.06328904317606814
2,21,30.1,0.0661597599135085
46,6,30.1,-0.010888945600470084
38,71,30.0,0.12070163113672691
61,46,29.099999999999966,-0.17307466338810767
57,46,28.999999999999986,-0.04239336309591449
19,50,28.5,0.07796380919192578
2,15,28.2,0.10361547111605886
69,46,28.0,0.1010054367195946
39,40,28.0,0.20740534972222183
25,21,27.600000000000005,0.13789448848026611
38,66,27.300000000000008,0.09620880689819467
73,46,27.2,-0.10388320538803965
8,50,26.800000000000004,0.17277201740039672
46,41,26.4,-0.11957470236907734
66,46,25.89999999999999,0.00535923463547471
46,67,25.6,0.0068505365354261825
6,37,25.5,0.16606574366325988
43,23,25.5,0.24010928263901582
35,21,25.4,0.14277156534098748
14,46,25.300000000000004,0.0335803254729219
2,23,25.3,-0.025961537839274663
19,56,25.20000000000001,0.04918964367593394
61,1,25.0,0.23870259370960492
26,65,24.9,0.22724050237134488
61,68,24.8,0.14457486223370197
6,17,24.700000000000006,0.11231776724730819
22,43,24.6,0.11018280972483017
35,56,24.6,0.15383964449952803
19,15,24.4,0.0746333134325626
6,68,24.1,0.05715009158550918
38,29,24.0,0.14005350438848058
19,44,24.0,0.160067440014406
61,73,23.40000000000001,0.1276719739468198
4,55,23.0,0.15171418462206676
46,3,22.700000000000006,-0.01712967159850827
38,45,22.600000000000005,0.04240353704734821
25,24,22.5,0.1376399358249414
71,46,22.000000000000004,0.022681662395580903
25,55,22.0,0.09704547739549525
38,75,22.0,0.15902542244015233
46,47,21.89999999999999,-0.0834857967542729
46,28,21.70000000000001,-0.021632400275131955
17,46,21.7,0.10345547166660746
46,33,21.500000000000004,-0.019798113683731165
19,37,21.500000000000004,0.12176042696139708
35,17,21.3,0.17931789370761553
61,66,21.0,0.11188303437843783
54,23,21.0,0.09812833924283278
22,24,20.8,0.04806079404564828
2,17,20.8,0.07406344096803791
2,55,20.700000000000006,0.004827727955900731
73,73,20.600000000000005,0.1810486091188247
23,46,20.599999999999987,0.09988914374481699
37,46,20.500000000000004,-0.017660589211188602
25,73,20.5,0.09741300087366597
22,23,20.5,-0.0501691498459449
8,59,20.3,0.09100904464052108
22,71,20.200000000000006,0.029109134741789028
26,5,20.000000000000004,0.07697927155945108
38,48,20.0,0.17576063111499682
54,40,20.0,0.1608720515537158
46,54,19.99999999999999,0.042886710921386094
19,47,19.8,0.16277388235784623
2,5,19.8,0.0036889078215473787
61,41,19.5,0.1950454763401178
22,47,19.5,0.17079150949149183
19,59,19.5,-0.015518300156586881
6,29,19.3,0.08146444377538807
61,24,19.0,0.11772872343969325
2,45,18.800000000000004,-0.017563197730047105
6,7,18.8,0.09077067941938938
2,2,18.6,0.009020626421486034
6,49,18.4,0.15569980568670996
6,53,18.4,0.12268558168849233
6,31,18.3,0.0979554038423803
22,55,18.000000000000004,-0.00958953510001407
25,14,18.0,0.13181482328752878
24,55,18.0,0.24042336795878028
4,24,18.0,0.14655960655309377
6,21,17.900000000000006,-0.0042174664480166164
22,5,17.8,-0.00585455506553639
26,50,17.5,0.07715426931553962
19,66,17.5,-0.010315693876254521
46,22,17.29999999999999,-0.06477841452653262
19,71,17.200000000000006,-0.005112124136796059
2,52,17.2,0.10568591058891343
56,24,17.2,0.2389859892345011
26,31,17.100000000000005,0.14773632049477006
22,73,17.100000000000005,-0.005399273808241377
33,46,17.000000000000004,-0.021816824367464748
13,73,17.0,0.16418515153481578
18,71,17.0,0.10975901601945359
8,23,16.800000000000004,0.010305703366700454
38,2,16.600000000000005,0.02403675373203813
61,59,16.5,0.05315867566213315
9,46,16.5,0.0875394228421689
38,27,16.5,0.07833724602336924
6,5,16.400000000000006,-0.013669998200206156
38,69,16.400000000000002,-0.015689287414961908
19,5,16.4,-0.027842213718592947
22,48,16.300000000000004,0.11590517445221565
6,72,16.3,0.10294025186942801
57,55,16.200000000000006,0.1773790342370925
38,23,16.200000000000006,-0.05654580990020004
2,31,16.1,0.06829483462414716
26,69,16.099999999999998,0.02000675866617195
4,69,16.000000000000004,0.07380528112985472
29,46,16.000000000000004,-0.0516236488946391
70,59,16.0,0.27407856600887087
2,62,16.0,0.07499300137606643
2,9,15.900000000000002,0.05275318400094981
2,68,15.9,-0.0149835071822881
25,17,15.8,0.1112897563631497
46,19,15.799999999999995,-0.016724753245061143
46,70,15.69999999999999,-0.021793280724346838
18,73,15.6,0.08648989359212071
8,27,15.5,0.130011059916279
46,61,15.399999999999988,-0.047973925174421776
22,40,15.3,-0.02152932772662745
2,24,15.3,-0.003239251059009272
2,40,15.3,-0.02730643747147657
46,26,15.1,-0.023249423806366108
6,15,15.000000000000002,0.01488403120923924
25,68,15.0,0.05552540515742793
50,5,15.0,0.18070341278975752
39,59,15.0,0.08365345246941905
6,43,15.0,0.03649102144957681
15,46,15.0,-0.020970531292632908
61,21,15.0,0.04791434422118856
2,59,14.999999999999995,-0.04748465269740733
6,40,14.900000000000004,-0.02141638136084477
6,50,14.9,-0.006565998894283681
22,21,14.9,-0.03372226875358542
39,5,14.8,0.0934546322598769
46,39,14.799999999999995,0.005813563035425751
38,50,14.7,0.012945902790943703
38,11,14.600000000000005,0.03767376780222195
35,55,14.6,0.05162245008356866
22,32,14.6,0.20512563144015464
22,27,14.500000000000002,0.03366884705346977
61,13,14.500000000000002,0.12291947107168238
27,23,14.500000000000002,0.10052693080517017
11,23,14.5,0.1800840832827276
6,45,14.4,-0.04482164624171188
6,35,14.300000000000002,0.00724078335123859
61,55,14.300000000000002,0.038665897900675913
4,50,14.3,0.10052214539700015
38,68,14.3,0.001163921810795946
42,73,14.2,0.2629144168042775
38,40,14.000000000000005,-0.008678622459285055
13,13,14.000000000000005,0.20326834280477185
25,59,14.000000000000002,0.021182463669912784
8,5,14.000000000000002,0.04614139670519474
37,23,14.000000000000002,0.16677873162581483
73,71,14.0,0.12692579755812344
8,14,14.0,0.10528522612773576
38,10,14.0,0.13517833519872838
54,11,14.0,0.14330564493081577
24,23,14.0,0.14046920629329035
19,65,13.8,0.053763805818512686
22,41,13.8,0.057660073206878694
26,53,13.8,0.1363355510953509
6,65,13.799999999999995,0.0675949996373733
46,12,13.699999999999998,-0.008718186080725296
22,75,13.600000000000005,0.0565857224865614
35,52,13.6,0.16469792499635555
38,15,13.5,0.021170147873270723
43,46,13.499999999999993,-0.10507361415540534
8,66,13.400000000000002,0.047894429071917634
6,56,13.4,-0.029034628483405985
14,21,13.399999999999995,0.23598997513162542
19,53,13.300000000000004,0.05838559806545205
19,45,13.3,-0.06910890479405181
26,72,13.3,0.13020029035725378
26,47,13.3,0.17073782993342554
19,48,13.1,0.07211881916924257
19,27,13.000000000000002,0.008041026770860623
47,5,13.0,0.26748001022447154
22,1,13.0,0.047587856750393925
27,55,13.0,0.1397442391984554
68,73,13.0,0.22418611075222786
8,43,13.0,0.09675945511599726
57,22,13.0,0.3487120900992479
11,46,12.999999999999993,-0.07207489339373475
25,45,12.9,0.008303021891031277
2,34,12.8,0.051017490981883414
39,56,12.8,0.0837763916397098
2,65,12.799999999999995,0.047194501475542806
25,41,12.700000000000005,0.11672518552479388
26,2,12.500000000000005,0.021044795161786582
2,30,12.5,0.033968617541092073
25,56,12.5,0.02902509911411853
4,14,12.5,0.11844419121216927
61,5,12.5,0.024526898462790544
22,11,12.5,-0.009081954355059043
22,44,12.5,0.06597928638557142
38,59,12.400000000000004,-0.04220834546929898
49,46,12.4,0.0021708600626078388
22,29,12.3,0.010952417305316415
18,68,12.3,0.05734682301400428
26,49,12.3,0.1495853041686996
8,24,12.3,0.05634438873615077
19,7,12.200000000000005,0.01253116700662012
2,50,12.2,-0.0430457020604851
73,59,12.2,0.07882139791304989
38,24,12.2,-0.004055349653298178
25,69,12.000000000000002,-0.011572488661320886
54,56,12.000000000000002,0.08648042462939899
38,21,12.000000000000002,-0.03786166787238392
61,50,12.0,0.03863847675188997
2,67,12.0,0.14889358921481993
29,75,12.0,0.3010723434834935
