a_id,b_id,count_south,south_consistency
2,2,6014.1000000000695,0.1503093446230951
74,2,453.1000000000008,0.08700668333502247
18,2,437.40000000000083,0.08347235913871084
69,2,405.6000000000006,0.07192917909715317
2,69,329.20000000000056,-0.057833432849515976
38,2,328.5000000000003,0.05622960153870517
66,2,273.60000000000025,0.06606585816726203
3,2,265.7000000000005,0.007281021407725147
10,2,247.79999999999995,-0.09903310587607259
50,2,231.7,-0.048207298864332386
30,2,229.60000000000005,-0.019917162590081763
51,2,227.5,0.013137727319207341
14,2,227.4,0.01363759050241169
2,74,222.10000000000016,-0.025772067018593893
55,2,207.99999999999986,0.08320743997791542
7,2,204.2,0.012441082365410975
49,2,197.90000000000012,-0.026230336180774878
45,2,196.2,0.00449982560781488
57,2,195.10000000000028,-0.046576773139044944
2,18,194.8,-0.02241029314897274
48,2,191.79999999999993,-0.1632185123043619
8,2,190.59999999999985,-0.08233201381326173
28,2,187.70000000000027,-0.011983554186946533
68,2,183.80000000000007,-0.020836981115799402
47,2,183.5000000000002,-0.024433453933213806
39,2,180.70000000000027,-0.04566500737945919
2,13,179.30000000000013,-0.0805732696827255
60,2,174.40000000000006,0.05110139098065552
62,2,166.3,-0.005097620537707219
2,38,166.2000000000001,-0.029027800471486082
73,2,162.1,-0.0980236940497994
52,2,158.8999999999999,-0.02151884111939411
64,2,154.59999999999994,0.015075030917823149
72,2,153.2,-0.018806044664492715
36,2,151.59999999999997,0.005507445972762621
24,2,150.79999999999995,-0.014712547769924634
59,2,150.7,0.06466807946000395
61,2,149.2,0.023744085650217486
35,2,147.09999999999997,-0.02289356638640727
23,2,144.19999999999996,-0.103491543475202
63,2,141.20000000000005,-0.038379206962261596
37,2,137.90000000000003,-0.06642152913240765
46,2,136.40000000000003,-0.0598387573188549
2,10,132.89999999999998,0.07527235495326694
4,2,131.7,-0.0998807416665784
12,2,131.30000000000007,-0.09733124982947243
22,2,130.89999999999998,-0.02765918382922964
